classificacao,comentario
normal,Essa muié ae soube deixar sua voz e será eterna! Fantástico!
normal,"Eu particularmente, sempre gostei "
normal,Penso q cada um tem seu tempo de assimilar tudo... Feliz de quem assimilou e gostou dela... Tudo de bom...
normal,"Essa musica tem uma energia extraordinária, grande Elza"
normal,Maravilhosa 
normal,O vídeo é ótimo. Top.
racista,preta feia 
normal,"Mano, ontem eu vi o documentário da vida dela, em 5 minutos do vídeo eu tive que parar para respirar um pouco, mano exemplo de mulher é Elza Soares."
normal,MARAVILHOOOOSAAAA¡¡!!¡
normal,31 de outubro e dia de Halloween e isso me faz lembrar d Elza Soares
normal,"Essa mulher é incrível,muito obrigada Elza por músicas tão maravilhosas"
normal,90 anos grande elza soares
normal,Q letra viu!
normal,"Música incrivel, arrepiante"
normal,"<a href=""https://www.youtube.com/watch?v=6SWIwW9mg8s&amp;t=2m39s"">2:39</a> illuminati detected"
normal,Que ser humano incrível. Elza é a resiliência em forma de pessoa. Se procurar no dicionário o que significa resiliência devia aparecer Elza. M A R A V I L H O S A
normal,DIVA...!  
normal,Cante Elza pelo bem da humanidade
normal,Eu amo essa Diva! Mulher que me representa!
normal,Alguien que hable español?! Me encanta esta canción de las mejores que sonaban en la serie de 3%
normal,Essa música me faz feliz
normal,3%?
normal,Na verdade me chamo Danilo e estou aqui falando no login da minha esposa mais falo por ela e por mim.
normal,"Estou conhecendo as músicas o trabalho da Elza hoje e por minha mãe ser negra e ver o que ela já passou na vida estou cada vez mais me apaixonando por essa linda voz negra Cante, cante até o fim minha diva brasileira"
normal,"A música da Elsa, combinou muito em 3%, a Joana realmente é a mulher do fim do mundo!!!!"
normal,"Uma voz, um ícone, uma Uma Mulher incrível sem palavras pra Elza Soares  "
normal,Show
normal,quebrei a cara e me livrei do resto....genial
normal,Deusa de todos os mundos!
normal,Essa música é boa demais mds
normal,arrepiou foi tudo
normal,Amo elza una verdadera diva do Brasil
normal,MMEUS DEUS QUE MÚSICA PODEROSA
normal,TE amo 
normal,QUE RAINHA É ESSA
normal,Com quase um século de vida essa DIVA impera ativamente! Elza vc é eterna e brilhante como as estrelas! Cantora do Milênio! Uma das únicas que teve a graça da longevidade de vida e carreira😘😘😘
normal,"Infelizmente o brasileiro tem um péssimo gosto musical, e não dá devido respeito aos seus verdadeiros músicos"
normal,"Mulher maravilhosa, inigualável, rainha!, inconfundível..."
normal,Elza Soares é uma das maiores maravilhas do mundo.<br />Eu nunca me canso de ouvi-la ❤
normal,que voz!
normal,Passei aqui por 3% e agora por bom dia Veronica hehe
normal,"Oowmm que bom que ainda nessa idade faz o que gosta,amem"
normal,Lovecraft Country fez uma homenagem a ela no ep 7 !
normal,Fico arrepiada toda vez que ouço essa música
normal,Brazilian Bülent Ersoy
normal,"No sé cómo llegué aquí, pero qué hermoso canta"
normal,"Banda Devassa - Rio de Janeiro. (Cultura, Esporte e Lazer).<br /><br />10 de Outubro - &quot;Dia Nacional Contra a Violência à Mulher&quot;.<br /><br />&quot;ÀS MULHERES ASSASSINADAS&quot; !!!! (Crônica).  <br /><br />⚓️ &quot;Dormir sobre a realidade imposta hoje à mulher é acordar no centro de uma página em branco com uma arma apontada para a nossa cabeça&quot;. (Arizoli).<br /><br />Salve, mulheres !!!! Ave irmãs !!!! <br />&quot;Eu vos saúdo e choro a vossa sina&quot; !!!!<br /><br />Humilhadas, estupradas, perseguidas, vilipendiadas e forçadas &quot;prematuramente ao silêncio eterno&quot;... (apenas por serem mulheres). <br /><br />O machismo matou mulheres públicas, matou profissionais, matou mães, matou tias, vizinhas, amigas, primas, esposas, amantes… matou... (uma a uma), por séculos de vileza e a vida seguiu como se nada de mais grave estivesse acontecendo...<br /><br />Desde &quot;Penélope&quot;... que tentam nos silenciar, desde o início da civilização que... &quot;esperamos proteção&quot; e muito pouco temos conseguido. <br /><br />Continuamos a ser lançadas do alto de edifícios, queimadas vivas, assassinadas por armas diante da família e da sociedade que... TIMIDAMENTE, emite sinais de revolta. O medo está arraigado no subconsciente das pessoas. <br /><br />Nós, vossas irmãs de carne e espírito seguimos com nossas vozes e nossa vontade que parecem coisa nenhuma diante desse universo de extremistas, fundamentalistas, de gente com entendimento tosco, sem sabedoria, sem sensibilidade que imputam a nós os defeitos que estão neles, desqualificando o nosso discurso, deturpando os nossos conceitos e convocando parte de nossas mulheres para engrossar suas fileiras. <br /><br />Gente que fala em nome de um deus inventado, um deus carrasco que se compraz com a tortura e a dor humana...<br /><br />&quot;Certamente não é o Deus que vos recebeu, não é o Deus que se fez homem para dizer aos homens que as prostitutas chegariam antes deles no reino dos céus&quot;... <br />&quot;Um Deus que veio para as minorias, que veio para suplantar os velhos conceitos e fazer uma nova aliança&quot;. <br /><br />Mas... até ele foi torturado e morto, foi crucificado pelos religiosos, teve a liberdade trocada pela a de um ladrão e, como representação do mais baixo lugar na escória da humanidade, ganhou a cruz.<br /><br />Não nego que esse quadro bíblico produz medo, mas não podemos deixar silenciar as vossas vozes. Não podemos deixar que o machismo siga a enganar muitas de nós, que siga a dizer que as mulheres são apenas o outro lado da moeda, a parte detrás, o complemento, suspeitas sempre de algum crime, porque fazem pacto com serpentes. <br /><br />&quot;Joana D´arc&quot;... teve a morte decretada por motivos tais, tinha pactos secretos, com Deus ou com o diabo, não se sabia ao certo. Na verdade... &quot;o rei francês temia sua liderança&quot;, temia que ela pudesse se aliar aos camponeses e exercer o poder. <br /><br />Foi entregue aos ingleses, que também se sentiram ameaçados pela sua capacidade e a mataram como feiticeira... <br />&quot;Foram necessários cinco séculos para provar que ela, na verdade, era santa&quot; !!!!<br /><br />Temos medo dos homens que rechaçam as mulheres politicamente, que continuam a julgá-las em nome de interesses próprios. <br /><br />Homens que querem o poder a todo custo, moralistas de olhares malévolos que farejam o ar procurando uma réstia de cheiro de pecado para emitir uma sentença de morte. <br /><br />Mesmo vivas, morremos todos os dias pelos julgamentos mecânicos, pela austeridade das ações injustas, pelas doutrinas secas, &quot;pela objetificação do nosso corpo&quot;... pela mercantilização feminina, &quot;pela falta de sororidade&quot; e outros princípios que dialogam ou estão integrados à... &quot;palavra machismo&quot; !!!!<br /><br />É preciso coragem para ser mulher, sentir a vida a nos golpear com as pedras da nossa própria história. É preciso ter coragem para prosseguir com a nossa luta e ocuparmos as praças do mundo...<br /><br />Não temos muitas escolhas, além de sairmos às ruas com os nossos corpos em sacrifício e sermos, vez por outra, rotuladas de vadias !!!!<br /><br />Estamos quase sem defesa e vamos... pouco a pouco, perdendo a dimensão da fé. Nossos pensamentos têm espasmos, têm redemoinhos... &quot;mas não vamos morrer sem antes revidar essa culpa judaico-cristã que nos jogaram nos ombros e pela qual temos parto com dores todos os dias&quot; !!!!<br /><br />Salve irmãs indígenas, negras, gays ou quaisquer que... além de mulher, pertenceram a outras minorias e... &quot;sofreram feminicídios por preconceito ou por se atreverem a sonhar&quot;. <br /><br />Eu me envergonho dessa doença que corrói a humanidade chamada... PRECONCEITO, que relampeja nos olhos a &quot;desdenhosa luz vermelha da torpeza&quot;... (do ódio... e todo o seu visgo).<br /><br />Salve mulheres transexuais, transgênicos ou qualquer outra categoria... &quot;que reivindicou uma identidade feminina e teve a vida dilacerada&quot;. <br /><br />Na condição de cidadã, peço desculpa pelo massacre aos corpos dissidentes que pereceram, sem defesa, em seus anonimato.<br /><br />A democracia atual é apenas um conceito que não funciona na prática. A política é o lugar da mentira e está muito longe de se constituir em força contra a injustiça e de ser o palco dos enfrentamentos com IGUALDADE... <br /><br />&quot;Dormir sobre a realidade imposta hoje à mulher é acordar no centro de uma página em branco com uma arma apontada para a nossa cabeça&quot;. <br /><br />Todas estamos na mira do machismo, esperando leis que nos protejam, &quot;esperando campanhas que desestimulem os homens a nos matar&quot;... (esperando por uma EDUCAÇÃO que conscientizem as crianças da igualdade entre gêneros), esperando pelo fim da impunidade aos assassinos. <br /><br />Todas nós podemos pagar com a vida o preço de ser mulher, daí a obrigação de sermos fortes, de curarmos as nossas feridas e seguirmos lutando, com nossas estratégias de proteção... &quot;nossas MÁSCARAS de sobrevivência, bordando em cruz os panos que limpam o sangue quando se rompe a capsula interna e nos dói o mundo&quot;.<br /><br />🇧🇷 &quot;Lucilene Machado&quot;.<br />(É Doutora em Teoria Literária, Professora UFMS)."
normal,"Ahh a musica da Joana de 
3%,amooooooooooooooo"
normal,👑DIVA DEUSA SOARES 👑
normal,brilliant!!!!!!
normal,Obrigado This song will always remind me of Joanna walking through the inland. She is my favourite character!
normal,obra de arte.
normal,Elza Adoro essa mulher do começo do mundo.
normal,Maravilhosaaaaaaaaa
normal,"Sou fã dessa garota ,, desde criança!!! Ammmo demais "
normal,"Voltei aqui por Lovecraft Country da HBO, que mulher perfeita, que inspiração."
normal,voz gostosa de ouvir 
normal,Amo a Elza coloquei um nome de uma gatinha minha de Elza Soares pq ela era esperta e  cheia de personalidade
normal,musica da serie brasileira muito foda 3% amei. top top
normal,"Impossível não se arrepiar, meu Zeuss perfeita sem defeitos"
normal,TE AMOOOO LINDAAAAA
normal,5 minutos de música boa e voz magnífica
normal,"A força dessa música, dessa mulher, dessa voz. De arrepiar, exaltemos Elza até o fim."
normal,bom dia Verônica?
normal,Eu venho de 3%
normal,Eu escutando em 2020 pela primeira vez
normal,"Elza,eu sempre fui um grande fã seu.Continue cantando assim!"
normal,Você é necessária demais Elza.<br />Te amo
normal,"amo esta canción aunque ,no la  entienda  pero es fascinante."
normal,Tive a felicidade de assistir show dela no Sesc de Bauru...Amei amei amei.
normal,"E ainda dizem que o Brasil não tem música boa, olha só esse hinooo."
normal,Música da Joana .. três porcento
normal,É uma diva mesmo! Fiquei aqui emocionada com o videoclipe &lt;3
normal,diva
normal,Eu tô chorando TANTO
normal,"<a href=""http://www.youtube.com/results?search_query=%23mulheresfortes"">#mulheresfortes</a> 😇"
normal,Só consigo lembrar da Joana do 3%
normal,MARAVILHOSAAAAAAAAAAAA
normal,eu amo
normal,A VOZ DO MILÊNIO
normal,"Demorei conhecer essa música, mas conheci "
normal,"Pisa mais Elza, maravilhosaaaaa"
normal,maravilhosa ela soares
normal,parabens
racista,"Preta horrivel, musica ruim aff"
normal,"Música maravilhosa para uma mulher maravilhosa. Elza, você é a mulher do fim deste mundo e do começo de outro que será de luz e dignidade."
normal,Vejo o Brasil na Elza vejo minha genealógia na Elza
normal,"Vim aqui pra dizer que Elza soares é e sempre será a maior cantora brasileira , com uma enorme representatividade.. parabéns a essa incrível mulher .!"
normal,De 3% Netflix
normal,"Elza, que incrível!"
normal,"M&#39;encanta, moltes gràcies"
normal,"você é a melhor voz desse país, te amo demais"
normal,Música do 3% Série da Netflix
normal,"Porra, que música, que vozzzz"
normal,NO PODES TENER 90 AÑOS
racista,"preta feia, volta pro quilombo pra ninguem ter que te escutar"
normal,Maravilha  essa música  rainha
normal,"Viva Elza, maravilhosa."
normal,ARTISTAAAAA
normal,Mulher guerreira tiro chapéu pra ela merece um troféu de Ouro
normal,A MAIOR VOZ DO BRASIL E FODA-SE O RESTO!!
normal,"Amo essa mulher hoje é sempre sem que precise que ela não esteja aqui pra que eu sinta tudo isso, amor esse que aprendi com minha mãe!"
normal,Essa porra e uma sobrevivente de Chernobyl só pode kkkkkkk
normal,"Que mulher, que voz. Sou apaixonada!"
normal,Yo Quelo Cataaaaa! Lalalala Euifi cata .
normal,Maravilhosaaaaa! Gratidão por sua voz e por sua força Elza!❤️
normal,english lyrics?
normal,"Maravilhosa, diva."
normal,MDS QUE COISA PERFEITAAAAAAAAAA
normal,Aqui por causa de 3 por cento.
normal,seria mais precisa se fosse em 2020
normal,Adorooooo
normal,Vim pelos 3%
normal,Que mulherao &lt;3
normal,Elza meu amor a senhora é tudo ❤
normal,"Se a perfeição existe, está na essência artística dessa Mulher!! <a href=""http://www.youtube.com/results?search_query=%23divadasdivas"">#DivaDasDivas</a> <a href=""http://www.youtube.com/results?search_query=%23elzasoares"">#ElzaSoares</a> <a href=""http://www.youtube.com/results?search_query=%23mulherdofimdomundo"">#MulherDoFimDoMundo</a>"
normal,"Elza,mulher do fim do mundo,uma das melhores vozes da humanidade....te amo elza soares!!!!"
normal,Gente o q significa essa letra?
normal,principado de andorra 28-8-2020
normal,"Na chuva de confetes deixo a minha dor. Na avenida, deixei lá a pele preta e a minha voz!"
normal,Meu choro não é nada além de carnaval. É lágrima de samba na ponta dos pés.
normal,I love this so much!!! 3% thank you
normal,"Whatever the Portuguese is for &quot;I dig this song,&quot; that&#39;s my comment.  Post-samba?"
normal,É  pura arte essa letra
normal,"Uma mulher ícone, uma diva, com um trabalho maravilhoso o de traduzir as vidas negras atravéz da música, ímpar em seu trabalho ela expressa todos os sentimentos em suas músicas, Salve a rainha Elza! 💗👏😍"
normal,Muito especial .... um verdadeiro patrimônio nacional e mundial essa mulher!!!
normal,Phoda!! Raridade!
normal,Joana’s theme song
normal,"A CANTORA DO MILÊNIO Elza és a mulher do fim do mundo, és força e inspiração!"
normal,Joana = )
normal,Quem veio por causa de 3%?
normal,incrivel procurei essa musica por causa do 3% :)
normal,Essa mulher é mais que foda!!
normal,"Alguém, curtindo essa obra em 08/2020!?"
normal,Mano...essa musica mexe com a pessoa slc
normal,Que perfeição de música é essa
normal,Amei
normal,"Ja gostava da música e vim agora rever depois do fim de 3% , essa música na 3ª Temporada com a Joana é maravilhosa<br /><br />Elza Soares é um Ícone Brasileiro"
normal,Mulheeeeeer tu és a força
normal,3%  ?
normal,"Elza, uma mulher á frente do seu tempo. "
normal,nss 
normal,Trilha sonora da série 3%. P E R F E I T A
normal,Algm veio pela série? 3% hehe
normal,Eu esperando que o especial de fim de ano da Globo seja com a Elza
normal,"Todas vezes que eu escuto, eu me emociono, obriagado Elza por ser essa mulher tão incrível"
normal,"puta que pariu amigos, que mulher"
normal,"Gente, a música dos 3%"
normal,MAravilhosa!!
normal,Canta uma música de abertura do one piece    &lt;3
normal,"&quot;Pirata e Super-Homem cantam o calor&quot; Aaah, olha só nossa musa que assiste One Piece já tinha revelado nessa altura sua preferência nerd hahahaha"
normal,Melhor musica que escutei em 2020...quem veio tambem atraves da serie 3% da um like
normal,2020 - Alguém idolatrando essa DEUSA ?
normal,Essa letra é muito linda e tocante... Deusa Elza &lt;3
normal,Amo essa mulher!!!!
normal,"Profundo, emocionante! Clipe lindo e ela canta com a alma!"
normal,Natura sempre preisente
normal,Alguém veio pela Joana de 3%?
normal,Maravilhosa! Até o fim cantar cantar
normal,maior ref de todas!!
normal,Adoroooo......sempre...todos os dias....até depois do fim......
normal,Não chegou nem a nada nem de carnaval ela demais de semana na ponta dos pés0
normal,"Essa mulher transcende a arte, ela é incrível, maravilhosa, que ser humano foda!"
normal,A MELHOR
normal,Como alguém pode dar deslike numa obra prima dessa?
normal,"O Brasil é preto! E das mulheres! Chega desse regime porco corrupto de homens brancos héteros decidindo sobre a vida do preto ou da mulher, ou até do homossexual e da lésbica! A gente tem voz e a minoria É A MAIORIA!"
normal,Quem veio pela trilha sonora de 3% a série brasileira
normal,Alguém conheceu essa música quando toca na série 3% da Netflix quando aparece a Joana?
normal,Isto não se pode ser comparado a uma simples musica. Prefiro definir como um verdadeiro orgasmo em forma de melodia.
normal,"Elza Soares! a maior DIVA de todos os tempos!! Negra e Feminista. Continue cantando até o fim, para nos maravilhar ! Obrigada!!!"
normal,"Mano, cade o reconhecimento?????"
normal,Que voz ! Que voz ! Maravilhosa Elza.
normal,Como ouvir essa música e não se arrepiar
racista,Credo preta feia
normal,Quando Elza canta fico todo arrepiado.<br />Ícone da MPB! 
normal,Essa mulher é muito foda eterna rainha
normal,Elza Parabéns.  90 anos de pura luz.A voz do mundo.
normal,Rainha
normal,Deve cantar até o fim!!
normal,Amo a interpretação da Elza!!!! Elza é Rock Roll
normal,essa musica arrepia carai
normal,"Hoje, 22/07/2020, faz 90 anos uma das maiores vozes, alma, figura e representavidade feminina e dos menos favorecidos... Elza Soares. Parabéns!"
normal,"Maravilhosa, rainha"
normal,Eu a conheci por 3% e gostei muito da musica
normal,"Arrepiadíssima... que mulher, que voz, que história!"
normal,na chuva de confetes deixo a minha dor
normal,Onde curte mais vezes?
normal,Te amo Elza 
normal,Alguém ouvindo essa poesia em julho de 2020?
normal,Meu Prof pediu  uma música  da (ELSA SOARES) e essa musica me chamou muito atenção  eu vo te que copiar agoraa  a musica kkkk @lá  vou  eu
normal,"Meu choro não é nada além de carnaval
<br />É lágrima de samba na ponta dos pés
<br />A multidão avança como vendaval
<br />Me joga na avenida que não sei qualé
<br />Pirata e Super Homem cantam o calor
<br />Um peixe amarelo beija minha mão
<br />As asas de um anjo soltas pelo chão
<br />Na chuva de confetes deixo a minha dor
<br />Na avenida deixei lá
<br />A pele preta e a minha voz
<br />Na avenida deixei lá
<br />A minha fala, minha opinião
<br />A minha casa, minha solidão
<br />Joguei do alto do terceiro andar
<br />Quebrei a cara e me livrei do resto dessa vida
<br />Na avenida dura até o fim
<br />Mulher do fim do mundo
<br />Eu sou e vou até o fim cantar
<br />Meu choro não é nada além de carnaval
<br />É lágrima de samba na ponta dos pés
<br />A multidão avança como vendaval
<br />Me joga na avenida que não sei qualé
<br />Pirata e Super Homem cantam o calor
<br />Um peixe amarelo beija minha mão
<br />As asas de um anjo soltas pelo chão
<br />Na chuva de confetes deixo a minha dor
<br />Na avenida deixei lá
<br />A pele preta e a minha voz
<br />Na avenida deixei lá
<br />A minha fala, minha opinião
<br />A minha casa, minha solidão
<br />Joguei do alto do terceiro andar
<br />Quebrei a cara e me livrei do resto dessa vida
<br />Na avenida dura até o fim
<br />Mulher do fim do mundo
<br />Eu sou e vou até o fim cantar
<br />Mulher do fim do mundo
<br />Eu sou, eu vou até o fim cantar
<br />Cantar
<br />Eu quero cantar até o fim
<br />Me deixem cantar até o fim
<br />Até o fim eu vou cantar
<br />Eu vou cantar até o fim
<br />Eu sou mulher do fim do mundo
<br />Eu vou, eu vou, eu vou cantar, me deixem cantar até o fim
<br />La, la, la, la, la, la, la
<br />La, la, la, ia, la, la, la, ia
<br />Até o fim eu vou cantar, eu quero cantar
<br />Eu quero é cantar, eu vou cantar até o fim
<br />La, la, la, la, la, la, la, la, la, ia
<br />Eu vou cantar, eu vou cantar, me deixem cantar até o fim
<br />Me deixem cantar até o fim
<br />Me deixem cantar
<br />Me deixem cantar até o fim"
normal,"A melhor voz do mundo! Uma deusa , guerreira, um orgulho nacional. Viiiiva Elza Soares!"
normal,Te amo Elza! Minha musa inspiradora &lt;3
normal,I dont understand the lyrics but im loving this song
normal,Rainha
normal,"É indiscutível o tamanho do talento dessa mulher. Sou fã desde criança. Considero a Elza, uma das maiores cantoras do planeta."
normal,Amo demais essa mulher!
normal,"Elza, transforma tudo em ouro. Dores, palavras, sorrisos e lágrimas. É a maior do Brasil"
normal,RAAAAAAAAAAAAAAAINHAAAAAAAAAAAAAAAAAAA!
normal,3% Joana...
normal,"essa voz me arrebenta, arrebata, arromba"
normal,"DIVA. Salve, Salve Elza Soares!!!!!"
normal,Eis uma mulher incrivel. Quero ser como a Elza quando crescer &lt;3 Sou uma mulher do fim do mundo tambem &lt;3
normal,Deusa D+
normal,ATEMPORAL!!!
normal,Incrível
normal,Esta canción la escuche cundo mi padre me dejo y donde quiera que esté esta canción me recuerda a el
normal,"Elza, cante, cante e cante até o fim. Porque estaremos sempre ouvindo você depois do fim. "
normal,"Elza, eu te amo. Que fique registrado para sempre aqui. "
normal,Quem tem ouvidos pois ouça! Rainha que cante. Pra quem é eterno não existe fim! Diva!!!
normal,"Muito muito muito foda  emocionante... Viva o talento, a cultura e a diversidade Brasileira... Viva Elza!"
normal,The singer of the millennium.
normal,Alguém veio pela série 3%?
normal,Me apaixonei por essa musica na quarentena!
normal,DIVA
normal,P-e-r-f-e-i-t-a
normal,Que mulher!!!!!!
normal,Que música maravilhosa!!!!!! Emoção!!!!!!
normal,Vim através da série 3% eu amo muito a voz dessa deusa 
normal,Realmente a mulher do fim do mundo  Maravilhosaaa 
normal,"Me emociona!!!! Elza, orgulho nosso, da verdadeira arte."
normal,A Maria Luísa adoraria recebê-la no Coisa Mais Linda.
normal,E o videoclipe é igualmente lindo.
normal,"Cara, eu simplesmente enlouqueci quando eu ouvi essa música! O que é isso??? Esse arranjo bem pós-moderno, com a voz dela, mesmo com essa dificuldade na articulação dons sons devido à idade dela... Eu me arrepio toda vez que escuto. É linda essa música!"
normal,O tiângulo ao fundo é a prova de que esses artistas famosos são todos vendidos para o sistema iluminati. O olho que tudo vê.
normal,Música muito boa !
normal,Rainhaaaaaaa 
normal,"MEO DEOS ,ESTOU SEM PALAVRAS !"
normal,"Maravilhosa. Inspiraçao. Exemplo de força, me guia."
normal,"Parabéns rainha. Que outras Elzas possam nascer e florir o Brasil com as pétalas da luta, da força que trazes. Que sua raiz enraize por todo o planeta. Te amo. Elza. Obrigada por existir."
normal,"Me sinto insuficiente de não ter notoriedade, ser um sem voz e querer falar o quanto sua é história é cativante e o quanto  essa musica põe a autoestima de qurm escuta lá em cima."
normal,A carne mais barata do mercado é a carne preta. Te amo
normal,"Ela é a maior e melhor intérprete da voz do morro!! <br />Parabéns Elza Soares, nesse 23 de junho de 2020, que completas 90 anos de vida lutas e vitórias! <br />Exemplo de mulher é de vida para todas nós! <br />Vida longa e com muita saúde e paz, diva divina linda!! <br /><a href=""http://www.youtube.com/results?search_query=%23vivaelzasoares90anos"">#VivaElzaSoares90Anos</a><br />23 de Junho de 2020!<br />Amo você mulher de fibra!! 😍💋<br />Admiro demais você, Elza!!✊ 💪👊🎤🎵🎶👣👍👏👏👏"
normal,"nunca tinha escutado dela, fiquei bobo, muito bom"
normal,Feliz aniversário Diva!
normal,Essa mulher é uma obra de arte!
normal,"Meu Deus, te amo demais!!!!"
normal,Muitos VIVAS para essa mulher valorosa!!!
normal,Maravilhosa
normal,3% que fala né
normal,que música! sem palavras
normal,Lenda viva! Amo!
normal,Deusa guerreira!
normal,Elza...Soares...Preta empoderada mulher superou ainda já
normal,Gurreira .. sobrevivente !!!
normal,Pura poesia essa mulher inteirinha! 
normal,Me quebra El corazon 
normal,Me encanta! Eu estoy bailandola  
normal,maravilhosa .
normal,"Ícone, lenda e dona de um talento ímpar ..."
normal,Só vim aqui por causa da série 3% na Netflix a música dela sempre aparece lá
normal,Essa música é um hino pra nossa nação 
normal,Rainhaaaaa
normal,"O Nome é Elza Soares mais poderia ser <a href=""http://www.youtube.com/results?search_query=%23SUPERA%C3%87%C3%83O"">#SUPERAÇÃO</a>! Muito Além de uma <a href=""http://www.youtube.com/results?search_query=%23CANTORA"">#CANTORA</a> TALENTOSA, ela é uma SOBREVIVENTE! Uma GUERREIRA que Experimentou as PIORES dores que um Ser Humano pode suportar. Ela Virou o Jogo, Cresceu, e <a href=""http://www.youtube.com/results?search_query=%23VENCEU"">#VENCEU</a> O MUNDO! É Exemplo de <a href=""http://www.youtube.com/results?search_query=%23PERSIST%C3%8ANCIA"">#PERSISTÊNCIA</a>, e uma Prova que <a href=""http://www.youtube.com/results?search_query=%23VALE"">#VALE</a> A PENA VIVER! O Brasil tem MUITO a Aprender com Ela!!!!!!!!!!! <a href=""http://www.youtube.com/results?search_query=%23MulherMARAVILHOSA"">#MulherMARAVILHOSA</a> <a href=""http://www.youtube.com/results?search_query=%23VozINCONFUND%C3%8DVEL"">#VozINCONFUNDÍVEL</a>  <a href=""http://www.youtube.com/results?search_query=%23CantoraVISCERAL"">#CantoraVISCERAL</a> <a href=""http://www.youtube.com/results?search_query=%23TALENTOaFlorDaPele"">#TALENTOaFlorDaPele</a> <a href=""http://www.youtube.com/results?search_query=%23ElzaSoares"">#ElzaSoares</a>🎙🎵♩🎼👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏"
normal,"Fico imaginando essa letra com a batida dos sambas antigos, com cuíca,  tamborim, pandeiro...essa música é muito raiz."
normal,Maravilhosa!!!!  
normal,Amo essa música
normal,maneira essa mascara dela..
normal,"Gente sério é muito foda essa música pqp eu amo sempre volto aqui pra ver o clipe, Elza arrasa!"
normal,"EU AMO MUITO ESSA MÚSICA! MEU DEUS, QUE MULHER FORTE E MARAVILHOSA! SALVE ELZA SOARES!"
normal,Impecável
normal,"Te admiro muito, sem defeitos."
normal,Emocionante
normal,Poderosa!
normal,Linda!
racista,Essa nega não Canta nada
normal,Ouvindo esse hino em plena quarentena
normal,Olhei e gritei: D I V A
normal,"pero mi diosa, evidente que te mereces cantar hasta el fin, sos una reina, tu voz es mágica, maravillosa, no tengo palabras para describir lo que siento, besos de Rocha, Uruguay."
normal,Sabe quando a alma arrepia? Então Elza consegue com sua voz...
normal,"Te amo, muito, diva! Jamais será esquecida se depender de mim."
normal,"Cante até o fim, Elzinha. Você pode e deve! "
normal,Eterna.
normal,Atualíssima!!
normal,Que hinoooo
normal,Top maravilhosa 
normal,Música pra sentir força. Maravilhosaa 
normal,Maravilhosaaa 
normal,Ela é a maior e melhor cantora do mundo...ela é a mulher do fim do mundo!!A voz dela arrepia até a alma!
normal,"ELZA uma das maiores MULHERES que essa NAÇÃO de racistas e machistas já fizeram sofrer e da dor, ela fez o que??<br />ARTE e LUTA para todxs nós!! Gratidão DIVA ELZA SOARES!!"
normal,Maravilhosa !!<br />Não tenho palavras pra descrever o que sua música me faz de bem na alma!!!
normal,Perdi seu show fiquei triste. Agora com essa pandemia tenho medo de não ter outra oportunidade.....
normal,Cantar até o fim seduzir até o fim. Que mulheres que clipe. Tu é mulher da criação  só por ser mulher e do fim pqp contemporanêa.<br /><br /><br />Ai fim do ano vem aquele branco fresco do   Roberto Carlos
normal,"não é atoa que pegou tudo que é premio, o album mulher do fim do mundo é fodaaa!!!!"
normal,Rainha sim rainha sim rainha sim
normal,"Rainha, maravilhosa! O Brasil precisa de mais Elzas."
normal,Quis dizer eta!!!!!!
normal,As músicas de Elza arrepiam a pele e sacode o ego;!!!!  Era mulher fantástica!!!!!!!!
normal,Perfeita&lt;3
normal,"Salve, Elza!"
normal,Cante até  o fim mulher do fim do mundo
normal,Arrepio toda vez que escuto essa música e essa voz!!!!!!!!!
normal,Que mulher!!!
normal,Anos q a rainha Elza lançou essa música e ainda me emociona. Um disco inteiro perfeito. Só posso parabenizar e agradecer por poder ouvi-lo. Te amo Elza 
normal,Uaaaaaaaal 
normal,Quanta gratidão sinto pela Elza!
normal,Essa música toca o fundo da minha alma
normal,Conheci bem a Elza acho que ela é s maior cantora  comparo ela a grandes divas americana
normal,Joana minha favorita 
normal,Eu sonho em conhecer essa rainha!
normal,Eu amo essa música e amo essa mulher incrível 
normal,Ai como eu amo essa mulher
normal,Essa mulher é uma fortaleza em forma de ser humano!
normal,"Talvez só experenciando o fim do mundo, possamos entender o grito da voz de uma mulher negra. Que todos fingem escutar, mas q sempre foi silenciada, e como toda a classe operária será. A tecnologia taí. Eles não precisam mais de nós. Nós que temos que nos ouvir. Me deixem CANTAAARRR"
normal,Gave me goosebumps <br /><br />beautiful
normal,Aqui por causa de 3%
normal,Mano sem sombra de dúvidas isso é um Hino nacional
normal,3% + essa música + Joana = perfeição
normal,Maravilhosa Diva! tive a oportunidade de ouvir seu ensaio ao vivo
normal,"Eu te amo Elza,  cante pra sempre!"
normal,The dislike are by 3% of the people in the offshore
normal,Ela é intensa! Mexe na alma! Que voz é essaaaaa....
normal,Um profeta só não é estimado em sua própria pátria e em sua família.
normal,Arte.
normal,Amo a voz da Elza desde o início da adolescência quando nenhum dos meus amigos sabiam quem era. Naquela época eu era a &quot;mulher do fim do mundo&quot; pra eles. Mas sigo firme amando o melhor da música brasileira!!!!!
normal,3% !
normal,que musica Deus que musica
normal,Olhei e gritei: UMA DEUSA 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
normal,3%
